AMSAssetRef,Latitude,Longitude,State,SnowIceRegion,CorrosionRegionType,StructureClassCode,Height,PaintingType,StructureLoadPercentage,InspectionFrequency
SA003976_STR_1,-34.684269,138.65633,SA,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,99,7.0
SA003988_STR_1,-34.724764,135.844937,SA,No,C (Medium),Pole Concrete,30.0,Not Painted,45,6.0
SA004012_STR_1,-34.692446,138.669514,SA,No,B (Low),Pole Concrete,27.0,Not Painted,63,7.0
SA004074_STR_1,-34.718957,138.664477,SA,No,B (Low),Pole Concrete,30.0,Not Painted,35,7.0
SA004107_STR_1,-34.943638,138.588749,SA,No,B (Low),Pole Steel,30.0,Not Painted,55.65,7.0
SA004153_STR_1,-34.966589,138.590287,SA,No,B (Low),Pole Steel,30.0,Environment / Aesthetic,65,7.0
SA004200_STR_1,-35.10643,138.5247,SA,No,C (Medium),Pole Steel,35.0,Not Painted,30,6.0
SA004201_STR_1,-34.99319,138.59358,SA,No,B (Low),Pole Steel,28.8,Not Painted,60,7.0
SA004202_STR_1,-35.02221,138.91546,SA,No,B (Low),Pole Steel,30.0,Not Painted,30,10.0
SA004215_STR_1,-35.17191,138.48356,SA,No,E (Very High),Pole Concrete,35.0,Not Painted,65,4.0
SA004216_STR_1,-34.820314,138.699086,SA,No,B (Low),Pole Concrete,30.0,Not Painted,50,8.0
SA004223_STR_1,-34.639137,138.52794,SA,No,B (Low),Pole Steel,35.0,Not Painted,45,10.0
SA004257_STR_1,-34.698024576,137.710066866,SA,No,C (Medium),Pole Steel,28.8,Not Painted,40,6.0
SA004285_STR_1,-34.60403,135.85419,SA,No,C (Medium),Tower Steel,40.0,Not Painted,77,7.0
SA004302_STR_1,-26.965878,133.311012,SA,No,B (Low),Pole Concrete,30.0,Not Painted,59,7.0
SA004303_STR_1,-27.008252954,132.710761369,SA,No,B (Low),Pole Concrete,30.0,Not Painted,59,7.0
SA004304_STR_1,-34.917774,138.4967,SA,No,E (Very High),Pole Steel,33.8,Environment / Aesthetic,40,4.0
SA004386_STR_1,-34.91164,138.51497,SA,No,C (Medium),Pole Steel,28.8,Environment / Aesthetic,45,6.0
SA004389_STR_1,-34.766,138.62442,SA,No,B (Low),Pole Concrete,30.0,Not Painted,38,7.0
SA004474_STR_1,-32.578797,134.706955,SA,No,C (Medium),Pole Concrete,30.0,Environment / Aesthetic,60,8.0
SA004497_STR_1,-26.46567572,132.0445443,SA,No,B (Low),Pole Concrete,30.0,Not Painted,59,9.0
SA004581_STR_1,-35.309357,139.507682,SA,No,C (Medium),Pole Steel,33.8,Not Painted,55,9.0
SA004618_STR_1,-35.27965,138.77488,SA,No,B (Low),Pole Concrete,30.0,Not Painted,80,9.0
SA004624_STR_1,-34.908012,138.56982,SA,No,B (Low),Pole Steel,28.8,Protection,45,7.0
SA004626_STR_1,-34.641106,138.72372,SA,No,B (Low),Pole Concrete,35.0,Not Painted,60,9.0
SA004650_STR_1,-35.197109743,138.503450845,SA,No,C (Medium),Pole Concrete,35.0,Not Painted,51,7.0
SA004651_STR_1,-33.81912,137.84433,SA,No,B (Low),Tower Steel,60.0,Not Painted,65,9.0
SA004652_STR_1,-35.79602,137.0424,SA,No,E (Very High),Tower Steel,60.0,Not Painted,72,6.0
SA004653_STR_1,-37.56756,140.71188,SA,No,C (Medium),Tower Steel,50.0,Not Painted,95,7.0
SA004682_STR_1,-37.78896978,140.753880906,SA,No,C (Medium),Tower Steel,60.0,Not Painted,64,7.0
SA004684_STR_1,-34.601881606,138.782104183,SA,No,B (Low),Pole Concrete,40.0,Not Painted,62,7.0
SA004706_STR_1,-34.998352,138.52658,SA,No,C (Medium),Pole Steel,35.0,Not Painted,40,6.0
SA006115_STR_1,-34.911644,138.55627,SA,No,C (Medium),Pole Steel,30.0,Environment / Aesthetic,40,6.0
SA006162_STR_1,-34.985192,137.26368,SA,No,C (Medium),Tower Steel,50.0,Not Painted,50,6.0
SA006169_STR_1,-34.951007,137.352893,SA,No,C (Medium),Tower Steel,50.0,Not Painted,60,7.0
